id	name	capital	area
36	Австралия	Канберра	6
40	Австрия	Вена	113
31	Азербайджан	Баку	112
8	Албания	Тирана	139
12	Алжир	Алжир	10
24	Ангола	Луанда	22
20	Андорра	Андорра-ла-Велья	178
28	Антигуа и Барбуда	Сент-Джонс	181
32	Аргентина	Буэнос-Айрес	8
51	Армения	Ереван	138
4	Афганистан	Кабул	40
44	Багамы	Нассау	156
50	Бангладеш	Дакка	92
52	Барбадос	Бриджтаун	182
48	Бахрейн	Манама	176
112	Беларусь	Минск	84
84	Белиз	Бельмопан	147
56	Бельгия	Брюссель	136
204	Бенин	Порто-Ново	100
100	Болгария	София	103
68	Боливия	Сукре	27
70	Босния и Герцеговина	Сараево	125
72	Ботсвана	Габороне	47
76	Бразилия	Бразилиа	5
96	Бруней	Бандар-Сери-Багаван	163
854	Буркина-Фасо	Уагадугу	74
108	Бурунди	Бужумбура	142
64	Бутан	Тхимпху	133
548	Вануату	Порт-Вила	157
826	Великобритания	Лондон	78
348	Венгрия	Будапешт	108
862	Венесуэла	Каракас	32
626	Восточный Тимор	Дили	154
704	Вьетнам	Ханой	66
266	Габон	Либревиль	76
332	Гаити	Порт-о-Пренс	143
328	Гайана	Джорджтаун	83
270	Гамбия	Банжул	159
288	Гана	Аккра	79
320	Гватемала	Гватемала	105
324	Гвинея	Конакри	77
624	Гвинея-Бисау	Бисау	134
276	Германия	Берлин	62
340	Гондурас	Тегусигальпа	101
304	Гренландия	Сент-Джорджес	184
300	Греция	Афины	95
268	Грузия	Тбилиси	119
208	Дания	Копенгаген	130
262	Джибути	Джибути	146
212	Доминика	Розо	172
214	Доминиканская Республика	Санто-Доминго	128
818	Египет	Каир	29
894	Замбия	Лусака	38
732	Западная Сахара	Эль-Аюн	195
716	Зимбабве	Хараре	60
376	Израиль	Иерусалим	148
356	Индия	Нью-Дели	7
360	Индонезия	Джакарта	14
400	Иордания	Амман	110
368	Ирак	Багдад	58
364	Иран	Тегеран	17
372	Ирландия	Дублин	118
352	Исландия	Рейкьявик	106
724	Испания	Мадрид	51
380	Италия	Рим	71
887	Йемен	Сана	49
132	Кабо-Верде	Прая	165
398	Казахстан	Астана	9
116	Камбоджа	Пномпень	88
120	Камерун	Яунде	53
124	Канада	Оттава	2
634	Катар	Доха	158
404	Кения	Найроби	46
196	Кипр	Никосия	162
417	Киргизия	Бишкек	85
296	Кирибати	Южная Тарава	174
156	Китай	Пекин	3
408	КНДР(Северная Корея)	Пхеньян	98
170	Колумбия	Санта-Фе-де-Богота	25
174	Коморы	Морони	168
178	Конго	Браззавиль	11
180	Конго Демократическая Республика	Киншаса	63
410	Корея Республика	Сеул	107
188	Коста-Рика	Сан-Хосе	126
384	Кот-д'Ивуа́р	Ямусукро	68
192	Куба	Гавана	104
414	Кувейт	Эль-Кувейт	152
418	Лаос	Вьентьян	81
428	Латвия	Рига	122
426	Лесото	Масеру	137
430	Либерия	Монровия	102
422	Ливан	Бейрут	161
434	Ливия	Триполи	16
440	Литва	Вильнюс	121
438	Лихтенштейн	Вадуц	189
442	Люксембург	Люксембург	167
480	Маврикий	Порт-Луи	169
478	Мавритания	Нуакшот	28
450	Мадагаскар	Антананариву	45
807	Македония	Скопье	145
454	Малави	Лилонгве	99
458	Малайзия	Куала-Лумпур	65
466	Мали	Бамако	23
462	Мальдивы	Мале	186
470	Мальта	Валлетта	185
504	Марокко	Рабат	57
584	Маршаловы острова	Маджуро	188
484	Мексика	Мехико	13
583	Микронезия	Паликир	175
508	Мозамбик	Мапуту	35
498	Молдавия	Кишинев	135
492	Монако	Монако	193
496	Монголия	Улан-Батор	18
104	Мьянма	Найпьидо	39
516	Намибия	Виндхук	33
524	Непал	Катманду	94
562	Нигер	Ниамей	21
566	Нигерия	Абуджа	31
528	Нидерланды	Амстердам	131
558	Никарагуа	Манагуа	96
554	Новая Зеландия	Веллингтон	75
540	Новая Каледония	Нумеа	198
578	Норвегия	Осло	67
784	ОАЭ	Абу-Даби	114
512	Оман	Маскат	70
586	Пакистан	Исламабад	34
585	Палау	Мелекеок	179
591	Панама	Панама	116
598	Папуа-Новая Гвинея	Порт-Морсби	54
600	Парагвай	Асунсьон	59
604	Перу	Лима	19
616	Польша	Варшава	69
620	Португалия	Лиссабон	109
630	Пуэрто-Рико	Сан-Хуан	197
643	Российская Федерация	Москва	1
646	Руанда	Кигали	144
642	Румыния	Бухарест	80
222	Сальвадор	Сан-Сальвадор	149
882	Самоа	Апиа	166
